category,department,expense_category,exp_type_category,expense_name,amount,fund_key
General Government,Admin,General Office,General Office,OFFICE SUPPLIES & POSTAGE,350,general
General Government,Admin,General Office,General Office,PUBLIC INFORMATION & EDUCATION,9000,general
General Government,Admin,General Office,General Office,PUBLICATIONS & DUES,2625,general
General Government,Admin,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,915,general
General Government,Admin,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,22515,general
General Government,Admin,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,3750,general
General Government,Admin,Salary & Benefits,Salary & Benefits,Admin Holiday Premium,93,general
General Government,Admin,Salary & Benefits,Salary & Benefits,DENTAL INS,4236,general
General Government,Admin,Salary & Benefits,Salary & Benefits,DISABILITY INS,1200,general
General Government,Admin,Salary & Benefits,Salary & Benefits,FICA,32312,general
General Government,Admin,Salary & Benefits,Salary & Benefits,HEALTH INS,79872,general
General Government,Admin,Salary & Benefits,Salary & Benefits,LIFE INS,1189,general
General Government,Admin,Salary & Benefits,Salary & Benefits,LONGEVITY,1170,general
General Government,Admin,Salary & Benefits,Salary & Benefits,SALARIES & WAGES-ADMIN,421117,general
General Government,Admin,Salary & Benefits,Salary & Benefits,WRS,30411,general
General Government,Admin,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",125,general
General Government,Admin,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,8000,general
General Government,Admin,"Training,Travel, Tuition","Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,875,general
General Government,Admin,Vehicle Expense,"Vehicle Expense, Gas, Fuel",LEVY-GENERAL FLEET VEHICLES,2864,capital
General Government,Admin,Vehicle Expense,"Vehicle Expense, Gas, Fuel","VEHICLE EXPENSE (G&O, REPAIRS)",500,general
General Government,Assessing,Equipment Materials & Supplies,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,50,general
General Government,Assessing,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,300,general
General Government,Assessing,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,700,general
General Government,Assessing,General Office,General Office,OFFICE SUPPLIES & POSTAGE,3755,general
General Government,Assessing,General Office,General Office,"PUBLICATIONS, DUES",1070,general
